0,0
0.000001,0
0.002,0
0.002001,5250
1.002,5250
1.002,7500
1.051999,7500
1.052,1200
1.101999,1200
1.102,7500
1.151999,7500
1.152,1200
1.201999,1200
1.202,7500
1.251999,7500
1.252,1200
1.301999,1200
1.302,7500
1.351999,7500
1.352,1200
1.401999,1200
1.402,7500
1.451999,7500
1.452,1200
1.501999,1200
1.502,7500
1.551999,7500
1.552,1200
1.601999,1200
1.602,7500
1.651999,7500
1.652,1200
1.701999,1200
1.702,7500
1.751999,7500
1.752,1200
1.801999,1200
1.802,7500
1.851999,7500
1.852,1200
1.901999,1200
1.902,7500
1.951999,7500
1.952,1200
2.001999,1200
2.002,7500
2.051999,7500
2.052,1200
2.101999,1200
2.102,7500
2.151999,7500
2.152,1200
2.201999,1200
2.202,7500
2.251999,7500
2.252,1200
2.301999,1200
2.302,7500
2.351999,7500
2.352,1200
2.401999,1200
2.402,7500
2.451999,7500
2.452,1200
2.501999,1200
2.502,7500
2.551999,7500
2.552,1200
2.601999,1200
2.602,7500
2.651999,7500
2.652,1200
2.701999,1200
2.702,7500
2.751999,7500
2.752,1200
2.801999,1200
2.802,7500
2.851999,7500
2.852,1200
2.901999,1200
2.902,7500
2.951999,7500
2.952,1200
3.001999,1200
3.002,7500
3.051999,7500
3.052,1200
3.101999,1200
3.102,7500
3.151999,7500
3.152,1200
3.201999,1200
3.202,7500
3.251999,7500
3.252,1200
3.301999,1200
3.302,7500
3.351999,7500
3.352,1200
3.401999,1200
3.402,7500
3.451999,7500
3.452,1200
3.501999,1200
3.502,7500
3.551999,7500
3.552,1200
3.601999,1200
3.602,7500
3.651999,7500
3.652,1200
3.701999,1200
3.702,7500
3.751999,7500
3.752,1200
3.801999,1200
3.802,7500
3.851999,7500
3.852,1200
3.901999,1200
3.902,7500
3.951999,7500
3.952,1200
4.001999,1200
4.002,7500
4.051999,7500
4.052,1200
4.101999,1200
4.102,7500
4.151999,7500
4.152,1200
4.201999,1200
4.202,7500
4.251999,7500
4.252,1200
4.301999,1200
4.302,7500
4.351999,7500
4.352,1200
4.401999,1200
4.402,7500
4.451999,7500
4.452,1200
4.501999,1200
4.502,7500
4.551999,7500
4.552,1200
4.601999,1200
4.602,7500
4.651999,7500
4.652,1200
4.701999,1200
4.702,7500
4.751999,7500
4.752,1200
4.801999,1200
4.802,7500
4.851999,7500
4.852,1200
4.901999,1200
4.902,7500
4.951999,7500
4.952,1200
5.001999,1200
5.002,7500
5.051999,7500
5.052,1200
5.101999,1200
5.102,7500
5.151999,7500
5.152,1200
5.201999,1200
5.202,7500
5.251999,7500
5.252,1200
5.301999,1200
5.302,7500
5.351999,7500
5.352,1200
5.401999,1200
5.402,7500
5.451999,7500
5.452,1200
5.501999,1200
5.502,7500
5.551999,7500
5.552,1200
5.601999,1200
5.602,7500
5.651999,7500
5.652,1200
5.701999,1200
5.702,7500
5.751999,7500
5.752,1200
5.801999,1200
5.802,7500
5.851999,7500
5.852,1200
5.901999,1200
5.902,7500
5.951999,7500
5.952,1200
6.001999,1200
6.002,7500
6.051999,7500
6.052,1200
6.101999,1200
6.102,7500
6.151999,7500
6.152,1200
6.201999,1200
6.202,7500
6.251999,7500
6.252,1200
6.301999,1200
6.302,7500
6.351999,7500
6.352,1200
6.401999,1200
6.402,7500
6.451999,7500
6.452,1200
6.501999,1200
6.502,7500
6.551999,7500
6.552,1200
6.601999,1200
6.602,7500
6.651999,7500
6.652,1200
6.701999,1200
6.702,7500
6.751999,7500
6.752,1200
6.801999,1200
6.802,7500
6.851999,7500
6.852,1200
6.901999,1200
6.902,7500
6.951999,7500
6.952,1200
7.001999,1200
7.002,7500
7.051999,7500
7.052,1200
7.101999,1200
7.102,7500
7.151999,7500
7.152,1200
7.201999,1200
7.202,7500
7.251999,7500
7.252,1200
7.301999,1200
7.302,7500
7.351999,7500
7.352,1200
7.401999,1200
7.402,7500
7.451999,7500
7.452,1200
7.501999,1200
7.502,7500
7.551999,7500
7.552,1200
7.601999,1200
7.602,7500
7.651999,7500
7.652,1200
7.701999,1200
7.702,7500
7.751999,7500
7.752,1200
7.801999,1200
7.802,7500
7.851999,7500
7.852,1200
7.901999,1200
7.902,7500
7.951999,7500
7.952,1200
8.001999,1200
8.002,7500
8.051999,7500
8.052,1200
8.101999,1200
8.102,7500
8.151999,7500
8.152,1200
8.201999,1200
8.202,7500
8.251999,7500
8.252,1200
8.301999,1200
8.302,7500
8.351999,7500
8.352,1200
8.401999,1200
8.402,7500
8.451999,7500
8.452,1200
8.501999,1200
8.502,7500
8.551999,7500
8.552,1200
8.601999,1200
8.602,7500
8.651999,7500
8.652,1200
8.701999,1200
8.702,7500
8.751999,7500
8.752,1200
8.801999,1200
8.802,7500
8.851999,7500
8.852,1200
8.901999,1200
8.902,7500
8.951999,7500
8.952,1200
9.001999,1200
9.002,7500
9.051999,7500
9.052,1200
9.101999,1200
9.102,7500
9.151999,7500
9.152,1200
9.201999,1200
9.202,7500
9.251999,7500
9.252,1200
9.301999,1200
9.302,7500
9.351999,7500
9.352,1200
9.401999,1200
9.402,7500
9.451999,7500
9.452,1200
9.501999,1200
9.502,7500
9.551999,7500
9.552,1200
9.601999,1200
9.602,7500
9.651999,7500
9.652,1200
9.701999,1200
9.702,7500
9.751999,7500
9.752,1200
9.801999,1200
9.802,7500
9.851999,7500
9.852,1200
9.901999,1200
9.902,7500
9.951999,7500
9.952,1200
10.001999,1200
10.002,7500
10.051999,7500
10.052,1200
10.101999,1200
10.102,7500
10.151999,7500
10.152,1200
10.201999,1200
10.202,7500
10.251999,7500
10.252,1200
10.301999,1200
10.302,7500
10.351999,7500
10.352,1200
10.401999,1200
10.402,7500
10.451999,7500
10.452,1200
10.501999,1200
10.502,7500
10.551999,7500
10.552,1200
10.601999,1200
10.602,7500
10.651999,7500
10.652,1200
10.701999,1200
10.702,7500
10.751999,7500
10.752,1200
10.801999,1200
10.802,7500
10.851999,7500
10.852,1200
10.901999,1200
10.902,7500
10.951999,7500
10.952,1200
11.001999,1200
11.002,7500
11.051999,7500
11.052,1200
11.101999,1200
11.102,7500
11.151999,7500
11.152,1200
11.201999,1200
11.202,7500
11.251999,7500
11.252,1200
11.301999,1200
11.302,7500
11.351999,7500
11.352,1200
11.401999,1200
11.402,7500
11.451999,7500
11.452,1200
11.501999,1200
11.502,7500
11.551999,7500
11.552,1200
11.601999,1200
11.602,7500
11.651999,7500
11.652,1200
11.701999,1200
11.702,7500
11.751999,7500
11.752,1200
11.801999,1200
11.802,7500
11.851999,7500
11.852,1200
11.901999,1200
11.902,7500
11.951999,7500
11.952,1200
12.001999,1200
12.002,7500
12.051999,7500
12.052,1200
12.101999,1200
12.102,7500
12.151999,7500
12.152,1200
12.201999,1200
12.202,7500
12.251999,7500
12.252,1200
12.301999,1200
12.302,7500
12.351999,7500
12.352,1200
12.401999,1200
12.402,7500
12.451999,7500
12.452,1200
12.501999,1200
12.502,7500
12.551999,7500
12.552,1200
12.601999,1200
12.602,7500
12.651999,7500
12.652,1200
12.701999,1200
12.702,7500
12.751999,7500
12.752,1200
12.801999,1200
12.802,7500
12.851999,7500
12.852,1200
12.901999,1200
12.902,7500
12.951999,7500
12.952,1200
13.001999,1200
13.002,7500
13.051999,7500
13.052,1200
13.101999,1200
13.102,7500
13.151999,7500
13.152,1200
13.201999,1200
13.202,7500
13.251999,7500
13.252,1200
13.301999,1200
13.302,7500
13.351999,7500
13.352,1200
13.401999,1200
13.402,7500
13.451999,7500
13.452,1200
13.501999,1200
13.502,7500
13.551999,7500
13.552,1200
13.601999,1200
13.602,7500
13.651999,7500
13.652,1200
13.701999,1200
13.702,7500
13.751999,7500
13.752,1200
13.801999,1200
13.802,7500
13.851999,7500
13.852,1200
13.901999,1200
13.902,7500
13.951999,7500
13.952,1200
14.001999,1200
14.002,7500
14.051999,7500
14.052,1200
14.101999,1200
14.102,7500
14.151999,7500
14.152,1200
14.201999,1200
14.202,7500
14.251999,7500
14.252,1200
14.301999,1200
14.302,7500
14.351999,7500
14.352,1200
14.401999,1200
14.402,7500
14.451999,7500
14.452,1200
14.501999,1200
14.502,7500
14.551999,7500
14.552,1200
14.601999,1200
14.602,7500
14.651999,7500
14.652,1200
14.701999,1200
14.702,7500
14.751999,7500
14.752,1200
14.801999,1200
14.802,7500
14.851999,7500
14.852,1200
14.901999,1200
14.902,7500
14.951999,7500
14.952,1200
15.001999,1200
15.002,7500
15.051999,7500
15.052,1200
15.101999,1200
15.102,7500
15.151999,7500
15.152,1200
15.201999,1200
15.202,7500
15.251999,7500
15.252,1200
15.301999,1200
15.302,7500
15.351999,7500
15.352,1200
15.401999,1200
15.402,7500
15.451999,7500
15.452,1200
15.501999,1200
15.502,7500
15.551999,7500
15.552,1200
15.601999,1200
15.602,7500
15.651999,7500
15.652,1200
15.701999,1200
15.702,7500
15.751999,7500
15.752,1200
15.801999,1200
15.802,7500
15.851999,7500
15.852,1200
15.901999,1200
15.902,7500
15.951999,7500
15.952,1200
16.001999,1200
16.002,7500
16.051999,7500
16.052,1200
16.101999,1200
16.102,7500
16.151999,7500
16.152,1200
16.201999,1200
16.202,7500
16.251999,7500
16.252,1200
16.301999,1200
16.302,7500
16.351999,7500
16.352,1200
16.401999,1200
16.402,7500
16.451999,7500
16.452,1200
16.501999,1200
16.502,7500
16.551999,7500
16.552,1200
16.601999,1200
16.602,7500
16.651999,7500
16.652,1200
16.701999,1200
16.702,7500
16.751999,7500
16.752,1200
16.801999,1200
16.802,7500
16.851999,7500
16.852,1200
16.901999,1200
16.902,7500
16.951999,7500
16.952,1200
17.001999,1200
17.002,7500
17.051999,7500
17.052,1200
17.101999,1200
17.102,7500
17.151999,7500
17.152,1200
17.201999,1200
17.202,7500
17.251999,7500
17.252,1200
17.301999,1200
17.302,7500
17.351999,7500
17.352,1200
17.401999,1200
17.402,7500
17.451999,7500
17.452,1200
17.501999,1200
17.502,7500
17.551999,7500
17.552,1200
17.601999,1200
17.602,7500
17.651999,7500
17.652,1200
17.701999,1200
17.702,7500
17.751999,7500
17.752,1200
17.801999,1200
17.802,7500
17.851999,7500
17.852,1200
17.901999,1200
17.902,7500
17.951999,7500
17.952,1200
18.001999,1200
18.002,7500
18.051999,7500
18.052,1200
18.101999,1200
18.102,7500
18.151999,7500
18.152,1200
18.201999,1200
18.202,7500
18.251999,7500
18.252,1200
18.301999,1200
18.302,7500
18.351999,7500
18.352,1200
18.401999,1200
18.402,7500
18.451999,7500
18.452,1200
18.501999,1200
18.502,7500
18.551999,7500
18.552,1200
18.601999,1200
18.602,7500
18.651999,7500
18.652,1200
18.701999,1200
18.702,7500
18.751999,7500
18.752,1200
18.801999,1200
18.802,7500
18.851999,7500
18.852,1200
18.901999,1200
18.902,7500
18.951999,7500
18.952,1200
19.001999,1200
19.002,7500
19.051999,7500
